date,open,high,low,close,volume,amount,amplitude,quote_change,ups_downs,turnover,symbol,tech_macd,tech_rsi,fin_roe,fin_revenue_yoy,ret_1d,ret_5d,ma_5,ma_10,ma_20,vol_ma_5,amt_ma_5,hl_spread,oc_change,future_close,future_date,label_fwd_ret_5d,split
2022-01-01,9.491268528553361,9.634352978732556,9.443573711826962,9.53896334527976,907882.0,5738123.0,3.3996087060967435,-0.8925261571196532,-0.05974483766424563,4.292417462426435,000001,1.690525703800356,65.64502865386021,8.1,12.0,,,,,,,,0.01999999999999984,0.005025125628140663,8.77927940057131,2022-01-06,-0.07964009475771494,train
2022-01-02,9.671046320357481,9.816840988503575,9.622448097642117,9.719644543072846,447625.0,6191368.0,7.149728352014346,-1.314399624093734,0.1333378900470402,0.4003347661900297,000001,-0.4659373705408328,14.693031569354353,8.1,12.0,0.01894138715634064,,,,,,,0.02000000000000012,0.005025125628140733,8.931411394657532,2022-01-07,-0.0810969109952776,train
2022-01-03,9.554083197951472,9.698114602945715,9.506072729620058,9.602093666282887,591003.0,7301503.0,4.7964750135028975,0.1488136770757929,-0.00222438885528444,1.0550079602639006,000001,0.0328201636785844,97.34755682697008,8.1,12.0,-0.01209415388279167,,,,,,,0.019999999999999903,0.005025125628140679,8.913598470895527,2022-01-08,-0.07170261187984084,train
2022-01-04,9.131735653016966,9.269400009595111,9.085847534157585,9.177623771876348,662181.0,8767548.0,2.349969129809928,-0.36631007532394944,0.05917382344432416,2.3258157698304602,000001,0.40751628299650783,95.5383451820879,8.1,12.0,-0.04420597310949337,,,,,,,0.019999999999999938,0.005025125628140786,9.007954022720883,2022-01-09,-0.018487328896113264,train
2022-01-05,8.779750084701108,8.912108126179016,8.735630737541806,8.82386943186041,801085.0,9754511.0,2.0828557184497276,1.7043792899262449,-0.0459587271315776,2.4882456616971407,000001,-0.7889230286257386,42.46255327956413,8.1,12.0,-0.038545308547074275,,9.37243895167445,,,681955.2,7550610.6,0.020000000000000174,0.005025125628140747,8.787654097375869,2022-01-10,-0.004104246415272073,train
2022-01-06,8.735383003568453,8.867072194577023,8.691486606565597,8.77927940057131,287967.0,9976828.0,0.02699246837348035,1.2596088417190157,-0.17101256905580592,2.6661158383486288,000001,0.00206557290594813,59.36373294088722,8.1,12.0,-0.005053342145804995,-0.07964009475771494,9.22050216273276,,,557972.2,8398351.6,0.019999999999999987,0.0050251256281408025,8.519380971961372,2022-01-11,-0.029603617421382622,train
2022-01-07,8.886754337684245,9.020725508604107,8.842097280710957,8.931411394657532,521850.0,5738970.0,4.5767843354555335,-2.325256395999596,0.09643517290386452,4.680210832050251,000001,-0.0008903858579313628,3.9628573866894334,8.1,12.0,0.017328528589296566,-0.0810969109952776,9.062855533049696,,,572817.2,8307872.0,0.01999999999999987,0.005025125628140671,8.696525133294667,2022-01-12,-0.02629889621962389,train
2022-01-08,8.869030478541049,9.002734455604482,8.824462486186572,8.913598470895527,408712.0,4715737.0,6.708556543093285,0.5142013015609617,0.06395970845827523,0.17486527942513153,000001,-1.7547243063454208,98.86343345619386,8.1,12.0,-0.0019944130860056752,-0.07170261187984084,8.925156493972226,,,536359.0,7790718.8,0.01999999999999994,0.0050251256281407895,8.79495402512963,2022-01-13,-0.013310499250475782,train
2022-01-09,8.962914252607279,9.09803356294809,8.917874482493675,9.007954022720883,786150.0,1543196.0,1.7977477786963858,-0.575105726475052,-0.005305282295531801,3.3811109767406307,000001,1.0176580056634932,81.87449926232988,8.1,12.0,0.010585573506978418,-0.018487328896113264,8.891222544141133,,,561152.8,6345848.4,0.019999999999999837,0.005025125628140663,8.788852255141348,2022-01-14,-0.02432314452614781,train
2022-01-10,8.74371582688899,8.875530638349629,8.69977755640211,8.787654097375869,479729.0,7724226.0,3.8339447293782163,0.8473605770873782,-0.002093089741715667,2.1489132412666505,000001,0.6004985159195494,63.65023424296673,8.1,12.0,-0.024456155614177022,-0.004104246415272073,8.883979477244223,9.128209214459337,,496881.6,5939791.4,0.020000000000000216,0.005025125628140757,9.045270780144893,2022-01-15,0.02931575138420084,train
2022-01-11,8.476784067101566,8.604574781680986,8.434187162241757,8.519380971961372,256046.0,5383393.0,7.871168571674,-0.948784246273272,0.18184030891705127,4.061194022207902,000001,-0.6254289739667597,76.1084744221686,8.1,12.0,-0.03052841207013457,-0.029603617421382622,8.831999791522238,9.0262509771275,,490497.4,5021104.4,0.020000000000000143,0.005025125628140634,8.855032688527347,2022-01-16,0.03939860392094885,train
2022-01-12,8.653042507628193,8.783490384627614,8.60955988196172,8.696525133294667,452288.0,6554283.0,3.147098823348835,-0.25051395568318624,0.15429364287334957,3.337559161638643,000001,-0.17154826119572117,18.802992858258616,8.1,12.0,0.020793078970914092,-0.02629889621962389,8.785022539249663,8.923939036149681,,476585.0,5184167.0,0.019999999999999993,0.005025125628140804,8.770979424165875,2022-01-17,0.008561383970036474,train
